id,query,country,position,title,seller,price,old_price,link,legit,good_deal,notes
in_sony-wh-1000xm5_5,Sony WH-1000XM5,in,5,WH-1000XM5 Wireless Noise Canceling Headphones with Bundle For Music & Calls,Tata CLiQ Jewellery,"₹26,499","Usually ₹44,410","https://www.google.com/search?ibp=oshop&q=Sony WH-1000XM5&prds=catalogid:1171770757503855804,productid:15242134098106985053,headlineOfferDocid:1544102282075648051,imageDocid:5154979041459141446,gpcid:4958901905211647540,pvt:hg&hl=en&gl=in&udm=28",1,1,"Tata CLiQ marketplace; ₹26,499 with bundle"
in_sony-wh-1000xm5_6,Sony WH-1000XM5,in,6,"Sony WH-1000XM5 Best Active Noise Cancelling Wireless Bluetooth Over Ear Headphones with Mic for Clear Calling,Battery Life 30 Hours-Smoky Pink",ShopatSC,"₹31,990",,"https://www.google.com/search?ibp=oshop&q=Sony WH-1000XM5&prds=catalogid:1499431658164969819,productid:17802921684456455775,headlineOfferDocid:1422722430824663509,imageDocid:13603409559140687070,pvt:hg&hl=en&gl=in&udm=28",1,0,"ShopatSC = Sony authorised store; ₹31,990 above usual street price"
in_sony-wh-1000xm5_7,Sony WH-1000XM5,in,7,Sony WH-1000XM5 नॉइज़ कैंसलिंग वायरलेस हेडफ़ोन - 30 घंटे की बैटरी लाइफ़ - ओवर-ईयर स्टाइल - Alexa और Google असिस्टेंट के लिए ऑप्टिमाइज़्ड - फ़ोन कॉल के,amazon.in,₹7,,"https://www.google.com/search?ibp=oshop&q=Sony WH-1000XM5&prds=productid:2807868374500124720,headlineOfferDocid:2807868374500124720,imageDocid:15523881879634955435,rds:PC_4329699917996912721|PROD_PC_4329699917996912721,pvt:hg&hl=en&gl=in&udm=28",,,"amazon.in listing at ₹7 — price is a data error, can't label"
in_sony-wh-1000xm5_8,Sony WH-1000XM5,in,8,Sony WH-1000XM5 Industry Leading Noise-Cancelling Headphones,LowestRate Shopping,"₹31,989",,"https://www.google.com/search?ibp=oshop&q=Sony WH-1000XM5&prds=catalogid:10064880604952308763,productid:6571195606222575407,headlineOfferDocid:5444129647168350945,imageDocid:18354481516284129502,rds:PC_6217346714516729274|PROD_PC_6217346714516729274,gpcid:6217346714516729274,mid:576462898021932396,pvt:hg&hl=en&gl=in&udm=28",1,0,"LowestRate (Nehru Place retailer, mixed reviews); ₹31,989 above usual"
in_sony-wh-1000xm5_9,Sony WH-1000XM5,in,9,Sony Wireless Headphones 30 Hours Playback Time,papita.co,"₹24,493.48",,"https://www.google.com/search?ibp=oshop&q=Sony WH-1000XM5&prds=catalogid:3516539798802378313,productid:15332666755639234639,headlineOfferDocid:16097430085740459545,imageDocid:4985414934031862451,gpcid:1153512034828086806,mid:576462898564361426,pvt:hg&hl=en&gl=in&udm=28",,,papita.co: no information found
in_hp-victus-gaming-laptop_0,HP Victus gaming laptop,in,0,HP Victus Gaming Laptop,Amazon.in,"₹1,16,000",,"https://www.google.com/search?ibp=oshop&q=HP Victus gaming laptop&prds=catalogid:3708048934263085785,productid:15954023033061614795,headlineOfferDocid:14173441589606741233,imageDocid:9423219431069525458,rds:PC_4909020454252952272|PROD_PC_4909020454252952272,gpcid:4909020454252952272,pvt:hg&hl=en&gl=in&udm=28",1,,Amazon.in; model not specified
in_hp-victus-gaming-laptop_1,HP Victus gaming laptop,in,1,"Victus Gaming Laptop 15-fb3383AX -15.6 "" -39.6 cm diagonal FHD 144 Hz",HP Store India,"₹94,999",,"https://www.google.com/search?ibp=oshop&q=HP Victus gaming laptop&prds=catalogid:10089584187598531100,productid:7304279197219850706,headlineOfferDocid:14215289637113816329,imageDocid:1611036899650113046,rds:PC_12088290673628221443|PROD_PC_12088290673628221443,gpcid:12088290673628221443,pvt:hg&hl=en&gl=in&udm=28",1,0,HP Store official price
in_hp-victus-gaming-laptop_2,HP Victus gaming laptop,in,2,HP Victus 15-fa2197TX Intel Core i5 13th Gen Gaming Laptop,Reliance Digital,"₹81,495","2% off₹83,495","https://www.google.com/search?ibp=oshop&q=HP Victus gaming laptop&prds=catalogid:6773156455371569201,productid:14125982280356648876,headlineOfferDocid:3926326798253683760,imageDocid:14087610461919933348,rds:PC_6136060883912467128|PROD_PC_6136060883912467128,gpcid:6136060883912467128,pvt:hg&hl=en&gl=in&udm=28",1,0,Reliance Digital; only 2% below its list price
in_hp-victus-gaming-laptop_3,HP Victus gaming laptop,in,3,"Victus Gaming Laptop 15-fb3385AX -15.6 "" -39.6 cm diagonal FHD 144 Hz",HP Store India,"₹1,19,999",,"https://www.google.com/search?ibp=oshop&q=HP Victus gaming laptop&prds=catalogid:8705616004021824233,productid:9589606634934384183,headlineOfferDocid:16737104712369820521,imageDocid:13594383558837576867,rds:PC_14173174879825798646|PROD_PC_14173174879825798646,gpcid:14173174879825798646,pvt:hg&hl=en&gl=in&udm=28",1,0,HP Store official price
in_hp-victus-gaming-laptop_4,HP Victus gaming laptop,in,4,"Victus Gaming Laptop 15-fa3006TX -15.6 "" -39.6 cm diagonal FHD",HP Store India,"₹1,24,999",,"https://www.google.com/search?ibp=oshop&q=HP Victus gaming laptop&prds=catalogid:15579593654989189010,productid:16405225524517351648,headlineOfferDocid:8072282600545126900,imageDocid:18414134158265927353,rds:PC_564996964062965671|PROD_PC_564996964062965671,gpcid:564996964062965671,pvt:hg&hl=en&gl=in&udm=28",1,0,HP Store official price
in_hp-victus-gaming-laptop_5,HP Victus gaming laptop,in,5,HP Victus 39.6 cm Gaming Laptop 15-fb3118AX,Amazon.in,"₹1,14,990",,"https://www.google.com/search?ibp=oshop&q=HP Victus gaming laptop&prds=catalogid:15145608181259585751,productid:10049274223497696399,headlineOfferDocid:1016506718103704018,imageDocid:2177300014778149484,rds:PC_5438691251864796646|PROD_PC_5438691251864796646,gpcid:15488671142349480151,mid:576462865569058517,pvt:hg&hl=en&gl=in&udm=28",1,0,Amazon.in; near official pricing for this config
in_hp-victus-gaming-laptop_6,HP Victus gaming laptop,in,6,HP Victus Gaming AMD Ryzen 7 7445HS Windows 11 Home Laptop,Flipkart,"₹94,144","15% off₹1,10,990","https://www.google.com/search?ibp=oshop&q=HP Victus gaming laptop&prds=catalogid:10456789176815846859,productid:16151774366532668364,headlineOfferDocid:11179870409455175612,imageDocid:16858353586913462686,rds:PC_12609118366025336088|PROD_PC_12609118366025336088,gpcid:12609118366025336088,pvt:hg&hl=en&gl=in&udm=28",1,1,"Flipkart; 15% below ₹1,10,990 list"
in_hp-victus-gaming-laptop_7,HP Victus gaming laptop,in,7,HP Victus 15-fb3125AX AMD Ryzen 7 Gaming Laptop,Reliance Digital,"₹79,495","2% off₹81,495","https://www.google.com/search?ibp=oshop&q=HP Victus gaming laptop&prds=catalogid:5925026510360891791,productid:15850875510302227779,headlineOfferDocid:6937462363408188558,imageDocid:7471306769379075476,rds:PC_9078529667293276037|PROD_PC_9078529667293276037,gpcid:9078529667293276037,pvt:hg&hl=en&gl=in&udm=28",1,0,Reliance Digital; 2% off
in_hp-victus-gaming-laptop_8,HP Victus gaming laptop,in,8,HP Victus Gaming Intel Core I5 12th Gen Windows 11 Home Laptop,GameLoot,"₹35,000",,"https://www.google.com/search?ibp=oshop&q=HP Victus gaming laptop&prds=catalogid:16677726237088561150,productid:6311926127568612817,headlineOfferDocid:5689998360555371267,imageDocid:3450791780786790734,rds:PC_15933167962553721902|PROD_PC_15933167962553721902,gpcid:15933167962553721902,pvt:hg&hl=en&gl=in&udm=28",1,,"GameLoot (used-gear marketplace, mixed reviews); used laptop, can't compare"
in_hp-victus-gaming-laptop_9,HP Victus gaming laptop,in,9,HP Victus 15-fb0178AX AMD Ryzen 5 5600H Gaming Laptop,Reliance Digital,"₹70,495",,"https://www.google.com/search?ibp=oshop&q=HP Victus gaming laptop&prds=catalogid:4949096248470389860,productid:4078640765469959840,headlineOfferDocid:8453543114462906896,imageDocid:17813950494200345410,gpcid:16403636177767624423,pvt:hg&hl=en&gl=in&udm=28",1,0,Reliance Digital; older Ryzen 5 5600H model at ₹70k is above its usual price
in_apple-watch-series-9_0,Apple Watch Series 9,in,0,Apple Watch Series 8 GPS Cellular Case Sport Band,GoSupps.com,"₹76,237.92",,"https://www.google.com/search?ibp=oshop&q=Apple Watch Series 9&prds=catalogid:2526073123467873116,productid:5014024857053961474,headlineOfferDocid:3612909194096458791,imageDocid:14167973801679022345,rds:PC_8181814704176946013|PROD_PC_8181814704176946013,gpcid:8181814704176946013,mid:576462872468467082,pvt:hg&hl=en&gl=in&udm=28",1,0,"GoSupps (US importer, legit); old Series 8 at ₹76k"
in_apple-watch-series-9_1,Apple Watch Series 9,in,1,Apple Watch Series 11 GPS + Cellular 46mm Aluminium Case,The Bank of Electronics,"₹43,499",,"https://www.google.com/search?ibp=oshop&q=Apple Watch Series 9&prds=catalogid:7756752450444869073,productid:6264177664860348144,headlineOfferDocid:770223082432754398,imageDocid:14663353598302884238,rds:PC_17328640760410435550|PROD_PC_17328640760410435550,gpcid:17328640760410435550,mid:576462889094957963,pvt:hg&hl=en&gl=in&udm=28",1,1,"The Bank of Electronics (Mumbai, good reviews); ₹43,499 vs Amazon ₹46,900 same model"
in_apple-watch-series-9_2,Apple Watch Series 9,in,2,Apple Watch Series 11 GPS + Cellular 46mm Aluminium Case,Amazon.in,"₹46,900",,"https://www.google.com/search?ibp=oshop&q=Apple Watch Series 9&prds=catalogid:7756752450444869073,productid:6264177664860348144,headlineOfferDocid:16423124513859773990,imageDocid:14663353598302884238,rds:PC_17328640760410435550|PROD_PC_17328640760410435550,gpcid:17328640760410435550,mid:576462889094957963,pvt:hg&hl=en&gl=in&udm=28",1,0,"Amazon.in; ₹46,900 = Apple price"
in_apple-watch-series-9_3,Apple Watch Series 9,in,3,Apple Watch Series 11 GPS + Cellular 46mm Aluminium Case,Amazon.in,"₹46,900",,"https://www.google.com/search?ibp=oshop&q=Apple Watch Series 9&prds=catalogid:7756752450444869073,productid:6264177664860348144,headlineOfferDocid:7065937966542871511,imageDocid:14663353598302884238,rds:PC_17328640760410435550|PROD_PC_17328640760410435550,gpcid:17328640760410435550,mid:576462889094957963,pvt:hg&hl=en&gl=in&udm=28",1,0,"Amazon.in; ₹46,900 = Apple price"
in_apple-watch-series-9_4,Apple Watch Series 9,in,4,"Apple Watch Series 9 [GPS + Cellular, 45mm] - Red Aluminum Case with Red Sport Band, M/L (Renewed)",Desertcart.ae,"₹30,368.78",,"https://www.google.com/search?ibp=oshop&q=Apple Watch Series 9&prds=productid:11089017191853819539,headlineOfferDocid:11089017191853819539,imageDocid:11063419240076446337,rds:PC_16163164982229625925|PROD_PC_16163164982229625925,pvt:hg&hl=en&gl=in&udm=28",1,,desertcart; renewed Series 9 — no clear reference
in_apple-watch-series-9_5,Apple Watch Series 9,in,5,Apple Watch Series 9 - 41mm - GPS - Midnight Aluminium Case - Midnight Sport Band - M/L,,"₹44,000+",,,,,no seller: Google compare-price card
in_apple-watch-series-9_6,Apple Watch Series 9,in,6,Apple Watch Series 9 - 45mm - GPS - Midnight Aluminium Case - Midnight Sport Band - M/L,,"₹44,000+",,,,,no seller: Google compare-price card
in_apple-watch-series-9_7,Apple Watch Series 9,in,7,Apple Watch Series 9 - 45mm - GPS + Cellular - Midnight Aluminium Case - Midnight Sport Band - M/L,,"₹44,000+",,,,,no seller: Google compare-price card
in_apple-watch-series-9_8,Apple Watch Series 9,in,8,Apple Watch Series 9 - 45mm - GPS - Midnight Aluminium Case - Midnight Sport Band - S/M,,"₹44,000+",,,,,no seller: Google compare-price card
in_apple-watch-series-9_9,Apple Watch Series 9,in,9,Samsung Galaxy Watch9,JioMart Electronics,"₹44,999",,"https://www.google.com/search?ibp=oshop&q=Apple Watch Series 9&prds=catalogid:10752410058760961478,productid:10850840677380729752,headlineOfferDocid:6401044475654571853,imageDocid:14644682044641075972,rds:PC_12731656749555582257|PROD_PC_12731656749555582257,gpcid:12731656749555582257,mid:576462914492405143,pvt:hg&hl=en&gl=in&udm=28",1,,JioMart; unfamiliar model/price
